date,Ice Harbor Daily Streamflows (unit:cfs),Lower Monumental (unit:cfs),Little Goose (unit:cfs),Lower Granite (unit:cfs)
1976-12-21,22517,24172,23505,23584
1976-12-22,24652,25561,24889,25257
1976-12-23,25511,24938,24240,24373
1976-12-24,27221,25668,24996,25099
1976-12-25,26985,26333,25665,25914
1976-12-26,26143,26678,25934,25786
1976-12-27,26259,27441,26707,26747
1976-12-28,26237,27474,26751,26940
1976-12-29,27315,27437,26707,26420
1976-12-30,26467,25958,25251,25162
1976-12-31,27823,27127,26444,26288
1977-01-01,26403,25705,24948,24323
1977-01-02,22899,22824,22141,21903
1977-01-03,23309,23863,23142,23733
1977-01-04,21305,22548,21830,21707
1977-01-05,24058,25076,24474,24578
1977-01-06,23911,23767,23270,23199
1977-01-07,24297,23765,23288,23272
1977-01-08,23704,24236,23754,23739
1977-01-09,25807,26924,26441,26372
1977-01-10,25068,26211,25728,25503
1977-01-11,21464,23097,22490,22953
1977-01-12,23115,24551,23823,24436
1977-01-13,26335,27252,26412,26719
1977-01-14,29357,29262,28467,28358
1977-01-15,29199,29022,28248,28110
1977-01-16,23919,24429,23611,23239
1977-01-17,26258,27216,26390,26342
1977-01-18,24108,25529,24642,24848
1977-01-19,31549,32593,31643,31878
1977-01-20,30723,31068,29806,29696
1977-01-21,30066,30074,28971,28870
1977-01-22,29895,30251,29318,29428
1977-01-23,30273,30757,29880,29420
1977-01-24,25705,26588,25743,25404
1977-01-25,25498,26927,26101,26190
1977-01-26,23150,24343,23555,23475
1977-01-27,24463,24912,24148,24021
1977-01-28,26025,25494,24735,24866
1977-01-29,28689,28062,27306,27419
1977-01-30,24486,24554,23810,23606
1977-01-31,23074,23977,23221,23280
1977-02-01,27588,28880,27917,28364
1977-02-02,30717,31560,30595,30633
1977-02-03,29038,29344,28374,28433
1977-02-04,28220,28047,27076,27018
1977-02-05,26747,26724,25752,25729
1977-02-06,25808,26359,25391,25341
1977-02-07,21586,22874,21906,21191
1977-02-08,20746,22680,21712,22137
1977-02-09,18111,19507,18536,18553
1977-02-10,19636,19960,18979,19070
1977-02-11,19100,19133,18139,18181
1977-02-12,20369,21002,19998,20643
1977-02-13,20620,21624,20615,20330
1977-02-14,20857,21884,20847,20711
1977-02-15,23510,24507,23463,23530
1977-02-16,22170,22975,21922,21936
1977-02-17,23790,23920,22880,22504
1977-02-18,23855,23695,22657,22830
1977-02-19,22124,22660,21642,21980
1977-02-20,23842,24316,23302,23019
1977-02-21,27168,27512,26484,26759
1977-02-22,25897,26535,25500,25246
1977-02-23,21841,21877,20850,20334
1977-02-24,23503,23250,22224,22697
1977-02-25,28712,28246,27218,27160
1977-02-26,25356,24537,23504,23252
1977-02-27,21504,20649,19625,19600
