date,Ice Harbor Daily Streamflows (unit:cfs),Lower Monumental (unit:cfs),Little Goose (unit:cfs),Lower Granite (unit:cfs)
1976-04-13,151315,152232,147213,146837
1976-04-14,147275,148977,143950,143438
1976-04-15,143479,145827,141062,140595
1976-04-16,137231,139323,134543,132425
1976-04-17,123234,125453,121541,119915
1976-04-18,118280,120879,117443,116298
1976-04-19,116579,118704,115152,114385
1976-04-20,116712,118417,115045,114817
1976-04-21,119929,121508,117288,117341
1976-04-22,117797,119050,115137,114645
1976-04-23,112578,113679,110120,109851
1976-04-24,110841,111878,108610,108872
1976-04-25,111484,112636,109538,110687
1976-04-26,111642,113026,110004,109384
1976-04-27,105931,107003,104145,103475
1976-04-28,100215,100691,98036,97814
1976-04-29,92186,92581,90064,90524
1976-04-30,98065,98258,95790,96515
1976-05-01,107158,107296,105206,105727
1976-05-02,119080,119676,117350,119390
1976-05-03,127315,127567,124999,126194
1976-05-04,142153,141532,139010,141222
1976-05-05,155336,154218,151827,153385
1976-05-06,158875,157545,155223,154587
1976-05-07,155701,154656,152360,152644
1976-05-08,160785,160414,158145,159688
1976-05-09,184805,184816,182392,185182
1976-05-10,207577,207610,204996,207635
1976-05-11,239488,239688,236867,240187
1976-05-12,228278,228633,226016,223326
1976-05-13,207264,208238,205912,204597
1976-05-14,216814,218846,216592,218626
1976-05-15,219061,221599,219527,219536
1976-05-16,211525,214197,212335,211039
1976-05-17,203721,206521,204743,204124
1976-05-18,195551,198124,196461,195757
1976-05-19,190285,192544,190981,190322
1976-05-20,187047,189444,187921,187256
1976-05-21,189105,191139,189673,188460
1976-05-22,191214,192519,191031,190390
1976-05-23,190512,191598,190156,190141
1976-05-24,196686,197352,195980,196630
1976-05-25,203616,204062,202748,203427
1976-05-26,205489,205886,204633,203481
1976-05-27,196747,196715,195475,194896
1976-05-28,199593,199674,198403,199081
1976-05-29,187439,187851,186662,185409
1976-05-30,177789,178410,177232,176140
1976-05-31,171764,172788,171580,171006
1976-06-01,150958,151975,150955,150127
1976-06-02,139120,139705,138685,137423
1976-06-03,134853,135260,134310,133368
1976-06-04,130093,130111,129222,128250
1976-06-05,127290,127410,126569,126015
1976-06-06,128189,128930,128152,128294
1976-06-07,134196,134868,134114,134988
1976-06-08,138049,138652,137727,139328
1976-06-09,148321,149214,148237,149779
1976-06-10,154145,155476,154544,154356
1976-06-11,144932,146526,145627,144918
1976-06-12,138952,140388,139532,138997
1976-06-13,135617,136856,136016,135142
1976-06-14,120347,121873,121097,119145
1976-06-15,110889,112539,111796,110639
1976-06-16,111650,113105,112355,112407
1976-06-17,123241,124704,123845,125389
1976-06-18,132508,133898,133105,133032
1976-06-19,130275,131513,130763,130343
1976-06-20,127808,128665,127925,128537
1976-06-21,136955,137887,137141,138051
1976-06-22,138221,139833,139117,138386
1976-06-23,124434,126527,125861,123759
1976-06-24,112027,114307,113685,111957
1976-06-25,101241,103268,102672,101492
1976-06-26,93447,95211,94644,93520
1976-06-27,86143,87744,87216,86151
1976-06-28,86962,88710,88201,87557
1976-06-29,85407,87235,86766,86481
1976-06-30,90617,92207,91762,92112
1976-07-01,87467,88708,88361,88033
1976-07-02,78679,79355,79014,78091
1976-07-03,73286,73867,73529,72768
1976-07-04,67553,68189,67862,67234
1976-07-05,62081,62960,62638,62256
1976-07-06,60625,61851,61547,61359
1976-07-07,59847,61166,60871,60696
1976-07-08,59459,60260,59958,59630
1976-07-09,59267,59526,59232,58491
1976-07-10,59925,60086,59800,59125
1976-07-11,53879,53954,53671,53297
1976-07-12,52896,53700,53424,54062
1976-07-13,55195,56684,56416,55988
1976-07-14,51996,52879,52614,51574
1976-07-15,44089,44108,43855,43183
1976-07-16,41895,41549,41304,40861
1976-07-17,42249,41772,41535,41315
1976-07-18,36674,36595,36358,36075
1976-07-19,40476,40953,40721,41232
1976-07-20,41918,42520,42296,42634
1976-07-21,41771,42183,41958,41454
1976-07-22,42749,42378,42160,41805
1976-07-23,40830,39857,39649,39263
1976-07-24,42405,41721,41519,41330
1976-07-25,43519,43605,43400,43273
1976-07-26,41478,42436,42236,42089
1976-07-27,39384,41063,40868,40535
1976-07-28,38831,39937,39742,39298
1976-07-29,38993,38845,38649,38417
1976-07-30,37240,36870,36676,36515
1976-07-31,35279,35263,35070,35022
1976-08-01,34695,34925,34757,34894
1976-08-02,36036,36182,36004,36691
1976-08-03,36616,37196,37005,37219
1976-08-04,37418,38265,38088,38311
1976-08-05,37809,37668,37498,37804
1976-08-06,38319,37122,36938,36600
1976-08-07,37911,37309,37123,37131
1976-08-08,35986,36676,36465,36171
1976-08-09,36579,37671,37467,37305
1976-08-10,35357,36459,36265,36172
1976-08-11,34711,35648,35459,34957
1976-08-12,32937,34039,33857,33379
1976-08-13,32815,33363,33181,32969
1976-08-14,34002,33816,33616,33894
1976-08-15,31927,32430,32221,32288
1976-08-16,28153,29464,29260,29502
1976-08-17,28105,29007,28815,29178
1976-08-18,26686,26570,26376,26100
1976-08-19,26004,25785,25601,25842
1976-08-20,28761,28803,28616,29066
1976-08-21,29227,29143,28946,28535
1976-08-22,28655,28463,28261,27982
1976-08-23,26747,26802,26607,26508
1976-08-24,25488,26096,25912,26080
1976-08-25,27772,28057,27856,28199
1976-08-26,30393,30226,30011,30037
1976-08-27,30756,30766,30562,30400
1976-08-28,28952,29298,29102,28853
1976-08-29,27910,28288,28098,27756
1976-08-30,27799,27892,27708,27519
1976-08-31,28138,29063,28878,28457
1976-09-01,21943,23534,23340,22576
1976-09-02,23285,24490,24309,24972
1976-09-03,24542,24827,24650,24271
1976-09-04,24010,24190,24017,24116
1976-09-05,21521,22353,22185,21853
1976-09-06,21077,22235,22065,22232
1976-09-07,22441,23560,23390,23690
1976-09-08,25293,25897,25728,26001
1976-09-09,24984,25573,25405,25115
1976-09-10,26242,26720,26554,26570
1976-09-11,25428,25387,25219,25244
1976-09-12,23265,23396,23224,23750
1976-09-13,21470,22258,22079,22611
1976-09-14,25354,25977,25799,26226
1976-09-15,26945,26536,26355,26334
1976-09-16,25784,25008,24827,24657
1976-09-17,27592,27466,27291,27703
1976-09-18,26183,26727,26555,26617
1976-09-19,27309,27612,27438,27532
1976-09-20,27426,27031,26859,26846
1976-09-21,27634,27213,27043,26834
1976-09-22,27580,27585,27418,27195
1976-09-23,27585,27570,27408,27217
1976-09-24,27241,27152,26987,27187
1976-09-25,26869,27229,27062,26989
1976-09-26,28023,28716,28546,28387
1976-09-27,27269,27887,27719,27504
1976-09-28,25375,25848,25681,25578
1976-09-29,25612,26091,25922,25836
1976-09-30,24738,25184,25010,24982
1976-10-01,27799,27972,27804,28197
1976-10-02,26747,26649,26483,25993
1976-10-03,25275,25618,25432,25649
1976-10-04,24614,25846,25671,25542
1976-10-05,23879,25002,24812,24820
1976-10-06,24396,24785,24594,24716
1976-10-07,25110,25154,24962,24895
1976-10-08,24630,24421,24229,24382
1976-10-09,22058,21994,21796,21817
1976-10-10,22725,23310,23112,23194
1976-10-11,23018,23979,23782,23680
1976-10-12,20923,22116,21920,21861
1976-10-13,20038,20554,20358,20496
1976-10-14,22190,21565,21369,21389
1976-10-15,20523,20048,19851,20020
1976-10-16,21174,21180,20984,20904
